frame_idx,timestamp_ms,x1,y1,x2,y2,label,class_name_raw,class_id,det_conf
17,567,872,365,910,400,Vehicle,car,2,0.42448756098747253
18,600,393,331,551,567,Vehicle,bus,5,0.908306360244751
18,600,118,416,239,519,Vehicle,car,2,0.8621591925621033
18,600,323,299,396,367,Vehicle,car,2,0.8191739320755005
18,600,328,580,455,720,Vehicle,car,2,0.7977460622787476
18,600,933,410,1006,489,Vehicle,car,2,0.7387037873268127
18,600,434,256,493,316,Vehicle,car,2,0.7278291583061218
18,600,349,371,432,460,Vehicle,car,2,0.5852558016777039
18,600,1019,558,1095,648,Vehicle,car,2,0.5708943009376526
18,600,1037,254,1279,560,Vehicle,bus,5,0.5329170227050781
18,600,816,359,833,399,Human,person,0,0.4701746702194214
18,600,387,222,441,270,Vehicle,car,2,0.44829609990119934
18,600,873,365,910,400,Vehicle,car,2,0.42192354798316956
18,600,517,186,549,217,Vehicle,car,2,0.4058666527271271
19,633,390,332,550,573,Vehicle,bus,5,0.9347690343856812
19,633,112,421,236,523,Vehicle,car,2,0.8566288352012634
19,633,321,300,394,368,Vehicle,car,2,0.8278433680534363
19,633,331,587,454,720,Vehicle,car,2,0.7808711528778076
19,633,431,256,492,317,Vehicle,car,2,0.7461512088775635
19,633,932,408,1006,488,Vehicle,car,2,0.6684523820877075
19,633,346,372,427,465,Vehicle,car,2,0.5603722333908081
19,633,816,364,833,400,Human,person,0,0.5477848052978516
19,633,1020,558,1095,648,Vehicle,car,2,0.5310265421867371
19,633,513,187,549,219,Vehicle,car,2,0.5210680365562439
19,633,623,306,645,355,Human,person,0,0.5014210939407349
19,633,1038,254,1279,561,Vehicle,bus,5,0.4867975413799286
19,633,385,222,439,271,Vehicle,car,2,0.4474782943725586
19,633,872,365,910,400,Vehicle,car,2,0.44145438075065613
20,667,386,334,550,581,Vehicle,bus,5,0.9291384220123291
20,667,107,424,231,528,Vehicle,car,2,0.7788204550743103
20,667,316,301,394,372,Vehicle,car,2,0.7469485998153687
20,667,326,593,451,719,Vehicle,car,2,0.7169939279556274
20,667,429,257,491,318,Vehicle,car,2,0.7105762362480164
20,667,932,408,1006,488,Vehicle,car,2,0.658523678779602
20,667,344,374,427,470,Vehicle,car,2,0.60380619764328
20,667,514,188,548,219,Vehicle,car,2,0.5982697606086731
20,667,1020,559,1095,649,Vehicle,car,2,0.5631698369979858
20,667,1037,253,1279,561,Vehicle,bus,5,0.5274056792259216
20,667,816,364,834,401,Human,person,0,0.5138723254203796
20,667,380,224,438,272,Vehicle,car,2,0.48965129256248474
20,667,873,365,910,399,Vehicle,car,2,0.4800195097923279
20,667,624,311,644,358,Human,person,0,0.43196508288383484
21,700,384,335,549,583,Vehicle,bus,5,0.9286158084869385
21,700,104,427,227,532,Vehicle,car,2,0.8442526459693909
21,700,312,303,391,374,Vehicle,car,2,0.717905580997467
21,700,426,257,490,321,Vehicle,car,2,0.6884319186210632
21,700,929,407,1005,489,Vehicle,car,2,0.6873747110366821
21,700,341,379,421,474,Vehicle,car,2,0.6808201670646667
21,700,302,601,449,719,Vehicle,car,2,0.6313393115997314
21,700,1021,560,1095,649,Vehicle,car,2,0.610694408416748
21,700,513,188,549,220,Vehicle,car,2,0.5866384506225586
21,700,873,365,910,398,Vehicle,car,2,0.5034160614013672
21,700,375,226,437,274,Vehicle,car,2,0.47734424471855164
21,700,1037,254,1279,562,Vehicle,bus,5,0.46004703640937805
21,700,817,365,835,402,Human,person,0,0.45454972982406616
21,700,624,313,644,358,Human,person,0,0.39808908104896545
22,733,382,337,548,587,Vehicle,bus,5,0.9438524842262268
22,733,97,431,223,538,Vehicle,car,2,0.8352483510971069
22,733,311,305,390,376,Vehicle,car,2,0.7585788369178772
22,733,931,407,1005,488,Vehicle,car,2,0.7128230929374695
22,733,426,257,488,322,Vehicle,car,2,0.6980961561203003
22,733,338,384,417,477,Vehicle,car,2,0.6923204064369202
22,733,1021,560,1096,649,Vehicle,car,2,0.638979434967041
22,733,510,188,548,222,Vehicle,car,2,0.6145769953727722
22,733,319,608,448,720,Vehicle,car,2,0.5957208275794983
22,733,377,228,434,275,Vehicle,car,2,0.49981188774108887
22,733,873,365,910,398,Vehicle,car,2,0.49846288561820984
22,733,818,366,835,404,Human,person,0,0.4856378436088562
22,733,624,315,645,356,Human,person,0,0.4523598551750183
23,767,380,339,546,593,Vehicle,bus,5,0.94011390209198
23,767,90,434,221,543,Vehicle,car,2,0.8001763820648193
23,767,308,307,388,380,Vehicle,car,2,0.7868136763572693
23,767,933,408,1006,488,Vehicle,car,2,0.7501335144042969
23,767,1022,559,1096,647,Vehicle,car,2,0.7056978940963745
23,767,334,386,417,485,Vehicle,car,2,0.6974853873252869
23,767,424,259,489,325,Vehicle,car,2,0.6892998218536377
23,767,509,189,547,224,Vehicle,car,2,0.641813337802887
23,767,312,613,445,720,Vehicle,car,2,0.5888956785202026
23,767,375,229,432,277,Vehicle,car,2,0.5705778002738953
23,767,873,364,911,398,Vehicle,car,2,0.4637680649757385
23,767,623,315,645,360,Human,person,0,0.44766098260879517
23,767,818,367,835,404,Human,person,0,0.4233069121837616
24,800,378,345,544,597,Vehicle,bus,5,0.9468160271644592
